InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
540456,48185,DOORMAT FAIRY CAKE,2,1/7/2011 12:14,7.95,13534.0,United Kingdom
566891,23013,GLASS APOTHECARY BOTTLE TONIC,4,9/15/2011 13:51,3.95,14894.0,United Kingdom
C562139,21313,GLASS HEART T-LIGHT HOLDER ,-4,8/3/2011 10:10,0.85,12921.0,United Kingdom
565438,22382,LUNCH BAG SPACEBOY DESIGN ,4,9/4/2011 13:56,1.65,17229.0,United Kingdom
566016,21212,PACK OF 72 RETROSPOT CAKE CASES,24,9/8/2011 12:20,0.55,15144.0,United Kingdom
557598,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,6/21/2011 11:33,1.65,14667.0,United Kingdom
561704,21533,RETROSPOT LARGE MILK JUG,1,7/29/2011 11:07,4.95,14606.0,United Kingdom
581001,22726,ALARM CLOCK BAKELIKE GREEN,24,12/7/2011 8:07,3.75,12583.0,France
542890,84865,NEW BAROQUE BLACK PHOTO ALBUM,2,2/1/2011 13:25,8.5,15311.0,United Kingdom
573287,21314,SMALL GLASS HEART TRINKET POT,8,10/28/2011 14:42,2.1,14194.0,United Kingdom
547909,22151,PLACE SETTING WHITE HEART,10,3/28/2011 12:22,0.42,15033.0,United Kingdom
570693,23132,SMALL IVORY HEART WALL ORGANISER,1,10/11/2011 16:50,5.75,16161.0,United Kingdom
571441,22107,PIZZA PLATE IN BOX,12,10/17/2011 13:31,3.29,14096.0,United Kingdom
556721,21129,SILVER FISHING GNOME ,7,6/14/2011 11:23,6.95,15218.0,United Kingdom
580911,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,12/6/2011 13:30,2.95,14503.0,United Kingdom
550001,47566,PARTY BUNTING,16,4/14/2011 9:28,4.95,17704.0,United Kingdom
550811,21669,BLUE STRIPE CERAMIC DRAWER KNOB,24,4/20/2011 16:04,1.25,16011.0,United Kingdom
578441,22082,RIBBON REEL STRIPES DESIGN ,5,11/24/2011 12:24,1.65,17133.0,United Kingdom
551439,22768,FAMILY PHOTO FRAME CORNICE,2,4/28/2011 15:26,9.95,14758.0,United Kingdom
565331,22072,RED RETROSPOT TEA CUP AND SAUCER ,1,9/2/2011 13:59,3.75,16674.0,United Kingdom
538012,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1,12/9/2010 12:32,3.25,14527.0,United Kingdom
574154,22840,ROUND CAKE TIN VINTAGE RED,2,11/3/2011 11:32,7.95,13709.0,United Kingdom
C563918,23198,PANTRY MAGNETIC  SHOPPING LIST,-1,8/21/2011 13:47,1.45,14572.0,United Kingdom
555340,22776,SWEETHEART CAKESTAND 3 TIER,1,6/2/2011 11:33,9.95,13334.0,United Kingdom
575128,22507,MEMO BOARD RETROSPOT  DESIGN,4,11/8/2011 14:27,4.95,16837.0,United Kingdom
537868,22539,MINI JIGSAW DOLLY GIRL,24,12/8/2010 16:49,0.42,12433.0,Norway
560597,85123A,WHITE HANGING HEART T-LIGHT HOLDER,96,7/19/2011 16:54,2.55,13798.0,United Kingdom
552555,22179,SET 10 LIGHTS NIGHT OWL,12,5/10/2011 11:20,6.75,18242.0,United Kingdom
572216,23388,WOODLAND MINI BACKPACK,2,10/21/2011 12:56,4.15,16015.0,United Kingdom
563931,22624,IVORY KITCHEN SCALES,2,8/21/2011 15:49,8.5,14895.0,United Kingdom
581166,23494,VINTAGE DOILY DELUXE SEWING KIT ,1,12/7/2011 14:43,5.95,15525.0,United Kingdom
573373,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,1,10/30/2011 13:37,1.45,14684.0,United Kingdom
564353,23318,BOX OF 6 MINI VINTAGE CRACKERS,48,8/24/2011 15:08,2.08,15764.0,United Kingdom
537463,22191,IVORY DINER WALL CLOCK,2,12/7/2010 10:08,8.5,12681.0,France
561695,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,7/29/2011 10:00,0.55,14005.0,United Kingdom
538157,22952,60 CAKE CASES VINTAGE CHRISTMAS,6,12/9/2010 16:57,0.55,17576.0,United Kingdom
547374,22621,TRADITIONAL KNITTING NANCY,2,3/22/2011 13:54,1.45,16110.0,United Kingdom
565846,21408,SPOTTY PINK DUCK DOORSTOP,1,9/7/2011 12:41,4.25,14606.0,United Kingdom
567338,22654,DELUXE SEWING KIT ,3,9/19/2011 15:00,5.95,14146.0,United Kingdom
C541821,22960,JAM MAKING SET WITH JARS,-2,1/21/2011 16:41,4.25,15281.0,United Kingdom
540813,22382,LUNCH BAG SPACEBOY DESIGN ,3,1/11/2011 12:41,1.65,14669.0,United Kingdom
538558,22343,PARTY PIZZA DISH RED RETROSPOT,24,12/13/2010 10:58,0.21,13069.0,United Kingdom
548511,22367,CHILDRENS APRON SPACEBOY DESIGN,2,3/31/2011 15:43,1.95,14056.0,United Kingdom
576300,23343,JUMBO BAG VINTAGE CHRISTMAS ,1,11/14/2011 14:39,2.08,15058.0,United Kingdom
564227,22452,MEASURING TAPE BABUSHKA PINK,6,8/24/2011 10:19,2.95,15249.0,United Kingdom
551332,35004B,SET OF 3 BLACK FLYING DUCKS,12,4/27/2011 16:23,4.65,13078.0,United Kingdom
578927,20713,JUMBO BAG OWLS,3,11/27/2011 12:26,2.08,15747.0,United Kingdom
548666,22193,RED DINER WALL CLOCK,1,4/1/2011 14:58,8.5,13124.0,United Kingdom
537757,82483,WOOD 2 DRAWER CABINET WHITE FINISH,16,12/8/2010 11:38,4.95,17975.0,United Kingdom
569897,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,10/6/2011 16:01,3.95,17813.0,United Kingdom
577855,22286,DECORATION WOBBLY RABBIT METAL ,1,11/22/2011 11:18,0.39,15877.0,United Kingdom
576236,22274,FELTCRAFT DOLL EMILY,1,11/14/2011 13:31,2.95,13755.0,United Kingdom
554938,21975,PACK OF 60 DINOSAUR CAKE CASES,24,5/27/2011 13:34,0.55,12876.0,Belgium
567768,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,9/22/2011 11:17,2.08,15950.0,United Kingdom
578707,23114,VINTAGE LEAF CHOPPING BOARD  ,1,11/25/2011 11:20,4.95,17870.0,United Kingdom
537781,22759,SET OF 3 NOTEBOOKS IN PARCEL,1,12/8/2010 12:46,1.65,17341.0,United Kingdom
574671,35471D,SET OF 3 BIRD LIGHT PINK FEATHER ,5,11/6/2011 12:23,0.39,16744.0,United Kingdom
575755,23222,CHRISTMAS TREE HANGING GOLD,12,11/11/2011 10:45,0.83,17015.0,United Kingdom
572312,21484,CHICK GREY HOT WATER BOTTLE,1,10/23/2011 15:47,4.25,15022.0,United Kingdom
574544,23389,SPACEBOY MINI BACKPACK,4,11/4/2011 14:49,4.15,17084.0,United Kingdom
562892,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,8/10/2011 12:24,1.25,16292.0,United Kingdom
579142,22975,SPACEBOY CHILDRENS EGG CUP,6,11/28/2011 13:06,1.25,16744.0,United Kingdom
546028,23006,TRAVEL CARD WALLET FLOWER MEADOW,24,3/9/2011 8:33,0.42,17049.0,United Kingdom
568593,23196,VINTAGE LEAF MAGNETIC NOTEPAD,12,9/28/2011 10:54,1.45,13988.0,United Kingdom
565067,22419,LIPSTICK PEN RED,5,8/31/2011 17:16,0.42,15856.0,United Kingdom
544042,82580,BATHROOM METAL SIGN,2,2/15/2011 11:52,0.55,14527.0,United Kingdom
570855,23225,CHERUB HEART DECORATION SILVER ,12,10/12/2011 14:56,0.83,17314.0,United Kingdom
552851,23170,REGENCY TEA PLATE ROSES ,48,5/11/2011 15:07,1.45,12731.0,France
577063,22866,HAND WARMER SCOTTY DOG DESIGN,12,11/17/2011 14:41,2.1,17183.0,United Kingdom
571502,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,10/17/2011 15:18,1.25,14422.0,United Kingdom
537034,22314,OFFICE MUG WARMER CHOC+BLUE,6,12/3/2010 17:20,2.95,13081.0,United Kingdom
569228,22712,CARD DOLLY GIRL ,12,10/2/2011 14:47,0.42,15547.0,United Kingdom
C580966,22130,PARTY CONE CHRISTMAS DECORATION ,-1,12/6/2011 14:52,0.85,16554.0,United Kingdom
571461,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,1,10/17/2011 14:12,4.25,16932.0,United Kingdom
C554336,22431,WATERING CAN BLUE ELEPHANT,-1,5/23/2011 17:20,1.95,12474.0,Germany
568896,22886,NUMBER TILE VINTAGE FONT 7,2,9/29/2011 13:13,1.95,16361.0,United Kingdom
577485,23309,SET OF 60 I LOVE LONDON CAKE CASES ,2,11/20/2011 11:56,0.55,16360.0,United Kingdom
558195,85099B,JUMBO BAG RED RETROSPOT,10,6/27/2011 12:32,2.08,17735.0,United Kingdom
570675,22427,ENAMEL FLOWER JUG CREAM,3,10/11/2011 15:03,5.95,13690.0,United Kingdom
577951,23100,SILVER BELLS TABLE DECORATION,1,11/22/2011 12:09,1.25,17238.0,United Kingdom
569844,22745,POPPY'S PLAYHOUSE BEDROOM ,6,10/6/2011 13:30,2.1,12626.0,Germany
578244,23206,LUNCH BAG APPLE DESIGN,10,11/23/2011 12:36,1.65,15727.0,United Kingdom
537421,22187,GREEN CHRISTMAS TREE CARD HOLDER,1,12/6/2010 15:25,4.25,17218.0,United Kingdom
576062,22279,POCKET BAG BLUE PAISLEY RED SPOT,12,11/13/2011 15:30,1.25,12867.0,United Kingdom
545815,47590B,PINK HAPPY BIRTHDAY BUNTING,6,3/7/2011 12:26,5.45,14012.0,United Kingdom
570197,22510,GINGHAM BABUSHKA DOORSTOP,7,10/7/2011 15:45,3.75,13755.0,United Kingdom
554134,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,24,5/23/2011 9:48,0.83,12583.0,France
541253,21733,RED HANGING HEART T-LIGHT HOLDER,2,1/16/2011 13:51,2.95,17841.0,United Kingdom
545468,22178,VICTORIAN GLASS HANGING T-LIGHT,12,3/3/2011 9:41,1.25,16571.0,United Kingdom
561068,84949,SILVER HANGING T-LIGHT HOLDER,12,7/24/2011 14:33,1.65,13116.0,United Kingdom
577806,22138,BAKING SET 9 PIECE RETROSPOT ,3,11/22/2011 8:20,4.95,12963.0,United Kingdom
570211,22573,STAR WOODEN CHRISTMAS DECORATION,1,10/9/2011 11:15,0.85,13558.0,United Kingdom
580539,22075,6 RIBBONS ELEGANT CHRISTMAS ,24,12/5/2011 8:39,0.39,18180.0,United Kingdom
549017,21843,RED RETROSPOT CAKE STAND,2,4/5/2011 15:20,10.95,15145.0,United Kingdom
556127,22652,TRAVEL SEWING KIT,10,6/9/2011 10:23,1.65,12406.0,Denmark
574657,23510,MINI PLAYING CARDS GYMKHANA,2,11/6/2011 11:43,0.42,13772.0,United Kingdom
548312,22917,HERB MARKER ROSEMARY,2,3/30/2011 12:12,0.65,16059.0,United Kingdom
556107,90204,PAIR OF ENAMEL BUTTERFLY HAIRCLIP,1,6/8/2011 17:09,3.35,17360.0,United Kingdom
573019,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,10/27/2011 12:33,0.85,15145.0,United Kingdom
574678,22382,LUNCH BAG SPACEBOY DESIGN ,10,11/6/2011 12:36,1.65,13365.0,United Kingdom
580727,22488,NATURAL SLATE RECTANGLE CHALKBOARD,1,12/5/2011 17:17,3.29,14096.0,United Kingdom
575740,20750,RED RETROSPOT MINI CASES,2,11/11/2011 9:25,7.95,18130.0,United Kingdom
580632,35970,ZINC FOLKART SLEIGH BELLS,3,12/5/2011 12:16,1.69,16360.0,United Kingdom
575852,85036B,CHOCOLATE 1 WICK MORRIS BOX CANDLE,6,11/11/2011 12:17,1.25,17238.0,United Kingdom
575692,20975,12 PENCILS SMALL TUBE RED RETROSPOT,5,11/10/2011 16:27,0.65,12508.0,France
574738,23169,CLASSIC GLASS COOKIE JAR,1,11/6/2011 16:01,4.15,12748.0,United Kingdom
576099,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,11/14/2011 10:28,0.79,13021.0,United Kingdom
576406,16156S,WRAP PINK FAIRY CAKES ,25,11/15/2011 11:17,0.42,13692.0,United Kingdom
577700,21616,4 PEAR BOTANICAL DINNER CANDLES,3,11/21/2011 12:06,1.25,14449.0,United Kingdom
560209,21716,BOYS VINTAGE TIN SEASIDE BUCKET,2,7/15/2011 14:05,2.55,15004.0,United Kingdom
546830,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,3/17/2011 12:10,1.45,16839.0,United Kingdom
557758,22233,JIGSAW RABBIT AND BIRDHOUSE,1,6/22/2011 13:28,0.59,17585.0,United Kingdom
541987,21446,12 RED ROSE PEG PLACE SETTINGS,2,1/24/2011 16:05,1.25,14130.0,United Kingdom
575965,22713,CARD I LOVE LONDON ,12,11/13/2011 12:32,0.42,13426.0,United Kingdom
558568,22846,BREAD BIN DINER STYLE RED ,1,6/30/2011 14:37,16.95,16316.0,United Kingdom
555399,22147,FELTCRAFT BUTTERFLY HEARTS,3,6/2/2011 17:41,1.45,15555.0,United Kingdom
579749,22644,CERAMIC CHERRY CAKE MONEY BANK,12,11/30/2011 14:41,1.45,13362.0,United Kingdom
561661,47343A,FUSCHIA FLOWER PURSE WITH BEADS,1,7/28/2011 16:21,0.83,12743.0,Unspecified
564846,23263,SET OF 3 WOODEN HEART DECORATIONS,12,8/30/2011 15:16,1.25,14507.0,United Kingdom
571883,21807,WHITE CHRISTMAS STAR DECORATION,1,10/19/2011 13:58,0.42,14704.0,United Kingdom
557861,21114,LAVENDER SCENTED FABRIC HEART,10,6/23/2011 12:13,1.25,13437.0,United Kingdom
C562022,22960,JAM MAKING SET WITH JARS,-2,8/1/2011 15:39,3.75,17389.0,United Kingdom
580727,22123,PING MICROWAVE APRON,2,12/5/2011 17:17,4.13,14096.0,United Kingdom
542107,84992,72 SWEETHEART FAIRY CAKE CASES,1,1/25/2011 13:38,0.55,16222.0,United Kingdom
568833,23103,JINGLE BELL HEART DECORATION,24,9/29/2011 11:39,1.65,17348.0,United Kingdom
556784,21678,PAISLEY PATTERN  STICKERS,6,6/14/2011 13:15,0.85,14461.0,United Kingdom
C543475,22244,3 HOOK HANGER MAGIC GARDEN,-1,2/8/2011 15:15,1.95,14415.0,United Kingdom
579267,22698,PINK REGENCY TEACUP AND SAUCER,6,11/29/2011 9:42,2.95,14961.0,United Kingdom
555931,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,6/8/2011 8:31,1.45,17828.0,Malta
541658,22753,SMALL YELLOW BABUSHKA NOTEBOOK ,3,1/20/2011 12:16,0.85,15529.0,United Kingdom
540187,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,1/5/2011 13:53,1.25,15358.0,United Kingdom
575194,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,11/9/2011 9:38,1.25,16767.0,United Kingdom
576062,20975,12 PENCILS SMALL TUBE RED RETROSPOT,3,11/13/2011 15:30,0.65,12867.0,United Kingdom
573588,22195,LARGE HEART MEASURING SPOONS,12,10/31/2011 15:01,1.65,12588.0,Finland
